group,ldpc_block,success,iterations,llr_min,llr_median_abs,llr_mean_abs,llr_max,hard_one_fraction
3,7,True,1,-40.016232967379956,39.99991757820339,39.999966662738025,40.01336728009263,0.4972677595628415
3,8,True,1,-40.01503978610469,39.99986583284617,39.999926782377266,40.0123555671915,0.4822404371584699
3,9,True,1,-40.014671731463146,39.99997749618072,39.999895932270654,40.01094312826699,0.4959016393442623
3,10,True,1,-40.01323956105985,39.99998356413061,39.9998312366807,40.01144610577987,0.48155737704918034
3,11,True,1,-40.01417204284012,39.99968576776071,39.99972005750503,40.0137619755487,0.4870218579234973
3,12,True,1,-40.01709103362101,39.99988486001045,39.99986137183387,40.01271777460854,0.48633879781420764
3,13,True,1,-40.011554508752994,39.99987484395841,39.99987097334011,40.013757395722244,0.476775956284153
3,14,True,1,-40.01410413022643,40.00014741987691,40.0000953740494,40.01315839790326,0.514344262295082
3,15,True,1,-40.014820334560625,39.999919608050085,39.99992415896909,40.01226333075326,0.5020491803278688
3,16,True,1,-40.01819167101593,39.99973578199082,39.99968287950385,40.012098717561564,0.48770491803278687
3,17,True,1,-40.01593992958453,40.000105832052235,40.000035679602135,40.010968788473065,0.5075136612021858
3,18,True,1,-40.01473169228472,39.99979855471892,39.99985047087583,40.01256527178514,0.5116120218579235
3,19,True,1,-40.01401336676856,40.00013150052419,40.00010038144515,40.01790468970096,0.5136612021857924
3,20,True,1,-40.014722322360335,39.999934009800754,40.00001216667275,40.012897236143374,0.4952185792349727
3,21,True,1,-40.01314247381503,39.99999703537081,39.999970941591876,40.012470196531005,0.5129781420765027
3,22,True,1,-40.01668727934599,40.000004454190645,39.99993462283739,40.01236884841629,0.47950819672131145
3,23,True,1,-40.01310727928864,39.99986914951093,39.99989108409056,40.011326443234545,0.5020491803278688
3,24,True,1,-40.01486299084502,39.99997518634768,39.99983286110229,40.0107314308349,0.4781420765027322
3,25,True,1,-40.013275700315525,39.99997177039151,39.99989334394867,40.01089421520081,0.4972677595628415
3,26,True,1,-40.01758047019434,39.99997194068573,39.999924757574156,40.01453203003922,0.4924863387978142
3,27,True,1,-40.01692639977965,40.00007357172726,39.99990312526721,40.011398146411416,0.5075136612021858
3,28,True,1,-40.0126313079802,39.99982444553203,39.99988326253071,40.012558928144195,0.47540983606557374
3,29,True,1,-40.01214952863137,40.00004974869353,39.99991148830421,40.011279008751174,0.5006830601092896
3,30,True,1,-40.012703752523336,40.00004059196425,39.99990908123275,40.01175149428115,0.49658469945355194
3,31,True,1,-40.01407440859886,39.999993251702406,40.00000568261931,40.014095452344655,0.51775956284153
3,32,True,1,-40.013758121802915,39.99976290341825,39.99986789645234,40.01199051571618,0.5020491803278688
3,33,True,1,-40.01560152663142,39.99993637904511,39.999955638648274,40.01231641686092,0.49453551912568305
3,34,True,1,-40.01345832807983,39.999906471749,39.999920337434645,40.014723380583796,0.5075136612021858
3,35,True,1,-40.0133029926198,39.999992984955,39.99994672350203,40.01149488391538,0.49385245901639346
